Transaction ID,Date,Amount,Category,Payment Method,Location,Merchant,Description,Transaction Type,Day of Week
1,2023-11-16,94.06,Groceries,Bank Transfer,Pharmacy,Shell,Dinner with friends,Variable,Thursday
2,2023-07-14,9.09,Bills,Credit Card,Supermarket,CVS,Weekly groceries,Fixed,Friday
3,2024-04-15,85.27,Bills,Credit Card,Fuel Station,Amazon,Doctor's visit,Fixed,Monday
4,2024-02-03,100.44,Transport,Debit Card,Online,Shell,Doctor's visit,Variable,Saturday
5,2024-10-30,52.52,Groceries,Credit Card,Restaurant,Amazon,Dinner with friends,Variable,Wednesday
6,2022-10-05,119.78,Bills,Cash,Pharmacy,CVS,Bus fare,Fixed,Wednesday
7,2023-08-23,151.88,Healthcare,Cash,Supermarket,Walmart,Monthly subscription,Fixed,Wednesday
8,2023-08-24,50.99,Eating Out,Debit Card,Restaurant,Starbucks,Gift shopping,Variable,Thursday
9,2022-11-11,126.0,Eating Out,Credit Card,Pharmacy,Starbucks,Doctor's visit,Variable,Friday
10,2023-12-07,129.73,Entertainment,Debit Card,Fuel Station,Amazon,Gas refill,Variable,Thursday
11,2023-07-06,189.97,Healthcare,Debit Card,Supermarket,Netflix,Doctor's visit,Fixed,Thursday
12,2022-03-29,156.76,Entertainment,Credit Card,Restaurant,Amazon,Monthly subscription,Variable,Tuesday
13,2022-06-24,170.43,Healthcare,Bank Transfer,Online,CVS,Weekly groceries,Fixed,Friday
14,2024-04-29,100.63,Bills,Credit Card,Supermarket,Amazon,Monthly subscription,Fixed,Monday
15,2023-06-22,41.14,Transport,Cash,Supermarket,Starbucks,Dinner with friends,Variable,Thursday
16,2024-04-25,199.18,Transport,Credit Card,Supermarket,Amazon,Gas refill,Variable,Thursday
17,2022-03-14,30.22,Transport,Bank Transfer,Pharmacy,Amazon,Gift shopping,Variable,Monday
18,2024-02-17,96.93,Healthcare,Credit Card,Online,Shell,Gas refill,Fixed,Saturday
19,2022-04-26,18.28,Transport,Cash,Fuel Station,Amazon,Doctor's visit,Variable,Tuesday
20,2024-09-03,189.05,Groceries,Cash,Online,Shell,Movie night,Variable,Tuesday
21,2024-01-26,193.16,Healthcare,Bank Transfer,Fuel Station,Walmart,Doctor's visit,Fixed,Friday
22,2023-03-25,145.28,Healthcare,Bank Transfer,Supermarket,Netflix,Movie night,Fixed,Saturday
23,2024-04-30,73.25,Transport,Cash,Fuel Station,Amazon,Gas refill,Variable,Tuesday
24,2022-04-10,54.6,Entertainment,Cash,Supermarket,Shell,Bus fare,Variable,Sunday
25,2024-01-26,56.73,Healthcare,Credit Card,Online,CVS,Weekly groceries,Fixed,Friday
26,2024-03-08,29.82,Entertainment,Debit Card,Restaurant,CVS,Dinner with friends,Variable,Friday
27,2023-10-22,107.53,Healthcare,Debit Card,Supermarket,Shell,Gift shopping,Fixed,Sunday
28,2024-06-29,32.65,Groceries,Bank Transfer,Online,CVS,Gift shopping,Variable,Saturday
29,2023-02-28,66.76,Bills,Bank Transfer,Pharmacy,CVS,Gas refill,Fixed,Tuesday
30,2023-11-29,127.21,Eating Out,Debit Card,Online,Amazon,Movie night,Variable,Wednesday
31,2023-10-02,146.87,Entertainment,Cash,Restaurant,Starbucks,Monthly subscription,Variable,Monday
32,2023-06-29,9.73,Entertainment,Bank Transfer,Supermarket,Starbucks,Movie night,Variable,Thursday
33,2023-06-28,88.87,Healthcare,Credit Card,Fuel Station,Amazon,Weekly groceries,Fixed,Wednesday
34,2023-12-16,132.16,Groceries,Debit Card,Online,Amazon,Gas refill,Variable,Saturday
35,2022-09-02,171.38,Entertainment,Credit Card,Mall,Starbucks,Weekly groceries,Variable,Friday
36,2022-06-01,97.69,Eating Out,Credit Card,Supermarket,Amazon,Movie night,Variable,Wednesday
37,2023-11-07,194.0,Groceries,Cash,Supermarket,Amazon,Movie night,Variable,Tuesday
38,2023-05-26,56.8,Transport,Bank Transfer,Mall,Starbucks,Movie night,Variable,Friday
39,2024-06-01,7.63,Transport,Bank Transfer,Supermarket,Shell,Dinner with friends,Variable,Saturday
40,2022-01-29,99.33,Transport,Bank Transfer,Pharmacy,Walmart,Gas refill,Variable,Saturday
41,2024-03-13,54.94,Eating Out,Cash,Pharmacy,Amazon,Gift shopping,Variable,Wednesday
42,2022-05-09,165.62,Bills,Credit Card,Restaurant,Starbucks,Gift shopping,Fixed,Monday
43,2022-05-09,50.39,Entertainment,Credit Card,Fuel Station,CVS,Gift shopping,Variable,Monday
44,2024-01-27,65.57,Eating Out,Credit Card,Restaurant,Amazon,Movie night,Variable,Saturday
45,2022-10-01,159.29,Bills,Credit Card,Online,Amazon,Bus fare,Fixed,Saturday
46,2022-12-02,144.45,Groceries,Bank Transfer,Online,Shell,Dinner with friends,Variable,Friday
47,2023-01-24,113.82,Eating Out,Bank Transfer,Pharmacy,Walmart,Dinner with friends,Variable,Tuesday
48,2023-06-28,142.46,Groceries,Credit Card,Supermarket,Amazon,Bus fare,Variable,Wednesday
49,2024-06-07,86.63,Bills,Credit Card,Fuel Station,Walmart,Weekly groceries,Fixed,Friday
50,2022-09-15,6.04,Eating Out,Cash,Fuel Station,Starbucks,Weekly groceries,Variable,Thursday
51,2022-02-27,7.21,Entertainment,Bank Transfer,Mall,Starbucks,Gift shopping,Variable,Sunday
52,2022-10-19,104.69,Bills,Bank Transfer,Fuel Station,CVS,Movie night,Fixed,Wednesday
53,2024-02-19,21.24,Entertainment,Credit Card,Pharmacy,Netflix,Monthly subscription,Variable,Monday
54,2023-03-07,14.96,Groceries,Bank Transfer,Restaurant,Shell,Bus fare,Variable,Tuesday
55,2022-04-02,193.28,Entertainment,Bank Transfer,Restaurant,Starbucks,Gas refill,Variable,Saturday
56,2023-02-03,172.51,Eating Out,Credit Card,Restaurant,CVS,Weekly groceries,Variable,Friday
57,2023-09-04,34.65,Eating Out,Debit Card,Fuel Station,Amazon,Weekly groceries,Variable,Monday
58,2024-06-27,5.13,Transport,Debit Card,Fuel Station,Amazon,Movie night,Variable,Thursday
59,2023-09-26,188.63,Healthcare,Debit Card,Mall,Starbucks,Bus fare,Fixed,Tuesday
60,2022-03-26,59.27,Entertainment,Bank Transfer,Restaurant,Netflix,Gift shopping,Variable,Saturday
61,2022-07-23,41.25,Transport,Cash,Restaurant,CVS,Doctor's visit,Variable,Saturday
62,2022-11-21,139.84,Bills,Bank Transfer,Online,Shell,Gas refill,Fixed,Monday
63,2024-02-14,26.24,Groceries,Credit Card,Supermarket,CVS,Weekly groceries,Variable,Wednesday
64,2024-08-22,56.61,Bills,Cash,Fuel Station,Netflix,Bus fare,Fixed,Thursday
65,2023-10-02,195.14,Healthcare,Credit Card,Supermarket,Walmart,Gift shopping,Fixed,Monday
66,2024-08-30,129.7,Groceries,Cash,Mall,Shell,Doctor's visit,Variable,Friday
67,2024-05-18,106.53,Healthcare,Cash,Restaurant,Shell,Movie night,Fixed,Saturday
68,2024-08-12,82.59,Entertainment,Cash,Online,Amazon,Doctor's visit,Variable,Monday
69,2024-03-02,156.03,Eating Out,Cash,Supermarket,Shell,Movie night,Variable,Saturday
70,2023-12-21,32.49,Entertainment,Debit Card,Mall,Shell,Movie night,Variable,Thursday
71,2024-06-28,193.63,Groceries,Cash,Online,Amazon,Weekly groceries,Variable,Friday
72,2023-01-09,172.92,Transport,Cash,Restaurant,Shell,Monthly subscription,Variable,Monday
73,2023-07-15,125.44,Groceries,Credit Card,Mall,Netflix,Dinner with friends,Variable,Saturday
74,2022-06-19,13.37,Transport,Credit Card,Fuel Station,Shell,Gift shopping,Variable,Sunday
75,2022-09-14,141.67,Bills,Debit Card,Online,Starbucks,Gift shopping,Fixed,Wednesday
76,2024-03-27,183.09,Eating Out,Cash,Supermarket,Shell,Monthly subscription,Variable,Wednesday
77,2023-01-23,107.29,Bills,Credit Card,Pharmacy,Shell,Monthly subscription,Fixed,Monday
78,2024-08-31,74.07,Entertainment,Cash,Supermarket,Walmart,Weekly groceries,Variable,Saturday
79,2023-01-04,28.45,Healthcare,Cash,Pharmacy,Walmart,Bus fare,Fixed,Wednesday
80,2024-07-06,152.21,Transport,Bank Transfer,Mall,CVS,Bus fare,Variable,Saturday
81,2022-07-21,177.58,Transport,Cash,Online,Netflix,Doctor's visit,Variable,Thursday
82,2023-01-19,24.55,Bills,Credit Card,Online,Walmart,Monthly subscription,Fixed,Thursday
83,2023-01-06,153.0,Eating Out,Bank Transfer,Online,CVS,Movie night,Variable,Friday
84,2023-07-10,8.33,Eating Out,Bank Transfer,Restaurant,Netflix,Movie night,Variable,Monday
85,2024-08-12,193.58,Bills,Credit Card,Supermarket,CVS,Gift shopping,Fixed,Monday
86,2022-01-24,124.94,Eating Out,Cash,Pharmacy,Walmart,Dinner with friends,Variable,Monday
87,2022-05-11,112.73,Entertainment,Cash,Restaurant,Walmart,Doctor's visit,Variable,Wednesday
88,2023-01-13,62.71,Healthcare,Cash,Mall,Amazon,Gift shopping,Fixed,Friday
89,2022-04-09,186.21,Groceries,Bank Transfer,Mall,Netflix,Dinner with friends,Variable,Saturday
90,2024-07-20,56.85,Transport,Credit Card,Fuel Station,CVS,Doctor's visit,Variable,Saturday
91,2024-01-05,166.49,Healthcare,Bank Transfer,Fuel Station,Shell,Bus fare,Fixed,Friday
92,2022-05-04,197.1,Transport,Bank Transfer,Restaurant,Walmart,Weekly groceries,Variable,Wednesday
93,2023-08-18,157.76,Transport,Cash,Fuel Station,Netflix,Gas refill,Variable,Friday
94,2024-01-10,106.2,Groceries,Debit Card,Pharmacy,Shell,Dinner with friends,Variable,Wednesday
95,2022-07-29,17.88,Entertainment,Cash,Mall,Walmart,Weekly groceries,Variable,Friday
96,2023-07-17,97.12,Bills,Debit Card,Fuel Station,Starbucks,Doctor's visit,Fixed,Monday
97,2024-02-22,90.46,Eating Out,Credit Card,Fuel Station,Shell,Gift shopping,Variable,Thursday
98,2023-12-07,44.55,Eating Out,Bank Transfer,Fuel Station,Walmart,Gift shopping,Variable,Thursday
99,2024-02-18,87.6,Groceries,Cash,Supermarket,Walmart,Gas refill,Variable,Sunday
100,2022-03-28,74.76,Transport,Credit Card,Mall,CVS,Gift shopping,Variable,Monday
101,2024-05-22,36.92,Eating Out,Debit Card,Pharmacy,Shell,Gas refill,Variable,Wednesday
102,2022-01-12,91.07,Bills,Bank Transfer,Fuel Station,Netflix,Doctor's visit,Fixed,Wednesday
103,2024-02-10,56.25,Eating Out,Bank Transfer,Supermarket,Amazon,Gas refill,Variable,Saturday
104,2022-11-04,106.8,Transport,Credit Card,Restaurant,CVS,Movie night,Variable,Friday
105,2022-02-02,11.86,Healthcare,Credit Card,Pharmacy,Walmart,Weekly groceries,Fixed,Wednesday
106,2024-03-17,181.72,Bills,Credit Card,Supermarket,Netflix,Bus fare,Fixed,Sunday
107,2022-10-03,164.19,Transport,Cash,Fuel Station,Starbucks,Dinner with friends,Variable,Monday
108,2023-03-21,112.75,Transport,Bank Transfer,Supermarket,CVS,Movie night,Variable,Tuesday
109,2023-05-04,171.1,Groceries,Credit Card,Supermarket,Shell,Weekly groceries,Variable,Thursday
110,2022-10-14,192.67,Transport,Debit Card,Pharmacy,Netflix,Gift shopping,Variable,Friday
111,2023-09-30,26.55,Bills,Cash,Fuel Station,Netflix,Doctor's visit,Fixed,Saturday
112,2024-02-10,128.01,Groceries,Debit Card,Online,Netflix,Dinner with friends,Variable,Saturday
113,2022-04-05,199.61,Groceries,Bank Transfer,Mall,Amazon,Movie night,Variable,Tuesday
114,2022-10-24,197.64,Bills,Bank Transfer,Online,Amazon,Gas refill,Fixed,Monday
115,2023-08-31,122.65,Groceries,Debit Card,Fuel Station,CVS,Dinner with friends,Variable,Thursday
116,2023-03-27,29.96,Bills,Cash,Mall,CVS,Monthly subscription,Fixed,Monday
117,2022-06-30,118.72,Eating Out,Credit Card,Pharmacy,Starbucks,Dinner with friends,Variable,Thursday
118,2022-11-20,5.4,Groceries,Credit Card,Mall,Walmart,Bus fare,Variable,Sunday
119,2024-10-01,43.79,Eating Out,Credit Card,Fuel Station,Amazon,Weekly groceries,Variable,Tuesday
120,2024-01-20,191.44,Groceries,Credit Card,Pharmacy,CVS,Bus fare,Variable,Saturday
121,2022-05-20,69.44,Transport,Credit Card,Supermarket,Amazon,Monthly subscription,Variable,Friday
122,2024-10-17,129.49,Healthcare,Debit Card,Restaurant,Amazon,Bus fare,Fixed,Thursday
123,2023-08-22,59.77,Bills,Debit Card,Online,Amazon,Dinner with friends,Fixed,Tuesday
124,2024-06-08,189.83,Transport,Cash,Online,CVS,Dinner with friends,Variable,Saturday
125,2024-04-23,147.07,Eating Out,Bank Transfer,Pharmacy,CVS,Dinner with friends,Variable,Tuesday
126,2023-11-28,69.28,Bills,Credit Card,Mall,Starbucks,Gift shopping,Fixed,Tuesday
127,2024-07-14,159.39,Bills,Bank Transfer,Mall,Netflix,Weekly groceries,Fixed,Sunday
128,2022-05-30,26.09,Healthcare,Credit Card,Restaurant,Shell,Gift shopping,Fixed,Monday
129,2022-01-26,81.5,Eating Out,Credit Card,Supermarket,Shell,Doctor's visit,Variable,Wednesday
130,2024-08-14,48.14,Bills,Debit Card,Mall,Netflix,Movie night,Fixed,Wednesday
131,2024-06-05,138.33,Bills,Cash,Mall,Walmart,Movie night,Fixed,Wednesday
132,2023-11-05,24.98,Groceries,Credit Card,Fuel Station,Starbucks,Doctor's visit,Variable,Sunday
133,2024-07-17,82.42,Entertainment,Bank Transfer,Supermarket,Starbucks,Monthly subscription,Variable,Wednesday
134,2024-02-03,58.95,Transport,Cash,Restaurant,Amazon,Gift shopping,Variable,Saturday
135,2022-05-02,103.74,Entertainment,Debit Card,Mall,Netflix,Bus fare,Variable,Monday
136,2023-04-15,73.23,Bills,Credit Card,Pharmacy,Amazon,Doctor's visit,Fixed,Saturday
137,2022-10-15,142.75,Healthcare,Debit Card,Supermarket,Shell,Weekly groceries,Fixed,Saturday
138,2023-06-10,9.79,Healthcare,Credit Card,Mall,Shell,Gift shopping,Fixed,Saturday
139,2023-08-15,128.63,Entertainment,Bank Transfer,Restaurant,Netflix,Gift shopping,Variable,Tuesday
140,2022-02-11,49.96,Healthcare,Cash,Online,Shell,Dinner with friends,Fixed,Friday
141,2022-10-02,57.4,Healthcare,Bank Transfer,Pharmacy,CVS,Monthly subscription,Fixed,Sunday
142,2022-07-27,161.05,Groceries,Credit Card,Fuel Station,Starbucks,Dinner with friends,Variable,Wednesday
143,2024-02-19,191.34,Eating Out,Credit Card,Pharmacy,Amazon,Weekly groceries,Variable,Monday
144,2022-06-16,66.73,Eating Out,Debit Card,Pharmacy,Starbucks,Movie night,Variable,Thursday
145,2022-04-22,166.23,Entertainment,Cash,Pharmacy,Netflix,Dinner with friends,Variable,Friday
146,2024-01-06,25.28,Groceries,Bank Transfer,Online,Netflix,Gift shopping,Variable,Saturday
147,2024-03-23,128.63,Healthcare,Cash,Online,Shell,Weekly groceries,Fixed,Saturday
148,2022-08-05,151.45,Healthcare,Credit Card,Online,Walmart,Bus fare,Fixed,Friday
149,2022-01-25,35.42,Eating Out,Bank Transfer,Online,CVS,Weekly groceries,Variable,Tuesday
150,2022-03-09,88.07,Entertainment,Debit Card,Restaurant,Walmart,Bus fare,Variable,Wednesday
151,2024-09-05,179.08,Entertainment,Credit Card,Mall,Netflix,Bus fare,Variable,Thursday
152,2024-10-04,25.2,Transport,Debit Card,Online,Starbucks,Bus fare,Variable,Friday
153,2022-08-23,8.53,Groceries,Bank Transfer,Online,CVS,Dinner with friends,Variable,Tuesday
154,2022-10-19,120.16,Transport,Bank Transfer,Restaurant,Amazon,Gift shopping,Variable,Wednesday
155,2024-10-19,89.93,Entertainment,Credit Card,Supermarket,Walmart,Dinner with friends,Variable,Saturday
156,2023-12-03,160.74,Transport,Credit Card,Restaurant,Walmart,Dinner with friends,Variable,Sunday
157,2023-12-29,185.07,Healthcare,Debit Card,Supermarket,Starbucks,Monthly subscription,Fixed,Friday
158,2023-07-10,63.33,Transport,Credit Card,Pharmacy,Netflix,Gift shopping,Variable,Monday
159,2022-02-02,80.74,Entertainment,Cash,Restaurant,Shell,Monthly subscription,Variable,Wednesday
160,2024-11-01,99.82,Eating Out,Cash,Pharmacy,CVS,Gas refill,Variable,Friday
161,2022-08-01,119.69,Bills,Debit Card,Supermarket,Starbucks,Gas refill,Fixed,Monday
162,2023-09-16,196.85,Eating Out,Debit Card,Restaurant,Netflix,Doctor's visit,Variable,Saturday
163,2024-02-10,140.98,Healthcare,Credit Card,Supermarket,CVS,Monthly subscription,Fixed,Saturday
164,2023-10-26,80.96,Groceries,Credit Card,Supermarket,CVS,Dinner with friends,Variable,Thursday
165,2024-04-01,56.43,Eating Out,Cash,Pharmacy,Amazon,Monthly subscription,Variable,Monday
166,2022-11-04,189.2,Healthcare,Debit Card,Supermarket,Netflix,Monthly subscription,Fixed,Friday
167,2024-08-07,31.43,Entertainment,Debit Card,Mall,Shell,Monthly subscription,Variable,Wednesday
168,2023-07-02,145.45,Transport,Cash,Online,Netflix,Doctor's visit,Variable,Sunday
169,2024-03-18,185.45,Groceries,Debit Card,Restaurant,Netflix,Bus fare,Variable,Monday
170,2022-03-15,134.61,Groceries,Credit Card,Pharmacy,Starbucks,Dinner with friends,Variable,Tuesday
171,2022-10-25,87.5,Groceries,Debit Card,Online,Shell,Dinner with friends,Variable,Tuesday
172,2024-07-08,43.8,Transport,Debit Card,Pharmacy,Shell,Gift shopping,Variable,Monday
173,2024-01-01,76.66,Healthcare,Credit Card,Mall,Walmart,Gas refill,Fixed,Monday
174,2024-05-26,142.84,Eating Out,Credit Card,Fuel Station,Walmart,Doctor's visit,Variable,Sunday
175,2024-02-17,131.66,Transport,Cash,Online,Amazon,Weekly groceries,Variable,Saturday
176,2023-03-06,185.96,Healthcare,Cash,Restaurant,Amazon,Bus fare,Fixed,Monday
177,2022-07-19,174.04,Bills,Cash,Fuel Station,Shell,Gift shopping,Fixed,Tuesday
178,2022-12-08,164.15,Groceries,Bank Transfer,Supermarket,CVS,Gift shopping,Variable,Thursday
179,2024-05-15,182.73,Entertainment,Bank Transfer,Fuel Station,CVS,Doctor's visit,Variable,Wednesday
180,2024-03-13,58.89,Transport,Debit Card,Supermarket,Netflix,Dinner with friends,Variable,Wednesday
181,2022-02-03,77.06,Groceries,Credit Card,Online,Walmart,Monthly subscription,Variable,Thursday
182,2023-10-08,79.08,Transport,Debit Card,Pharmacy,Amazon,Doctor's visit,Variable,Sunday
183,2022-08-21,114.29,Healthcare,Credit Card,Restaurant,Shell,Movie night,Fixed,Sunday
184,2024-02-07,135.3,Transport,Credit Card,Supermarket,Netflix,Weekly groceries,Variable,Wednesday
185,2022-02-06,60.91,Eating Out,Debit Card,Online,Starbucks,Doctor's visit,Variable,Sunday
186,2022-10-18,8.8,Transport,Debit Card,Online,Netflix,Gift shopping,Variable,Tuesday
187,2022-07-17,82.85,Healthcare,Bank Transfer,Mall,Walmart,Weekly groceries,Fixed,Sunday
188,2024-06-13,65.16,Entertainment,Debit Card,Fuel Station,CVS,Gas refill,Variable,Thursday
189,2022-05-17,188.73,Bills,Credit Card,Restaurant,Netflix,Doctor's visit,Fixed,Tuesday
190,2022-07-09,178.21,Bills,Credit Card,Restaurant,Walmart,Gas refill,Fixed,Saturday
191,2022-05-10,172.76,Transport,Debit Card,Pharmacy,Starbucks,Weekly groceries,Variable,Tuesday
192,2022-07-29,132.33,Transport,Credit Card,Pharmacy,Netflix,Doctor's visit,Variable,Friday
193,2022-10-19,72.14,Transport,Bank Transfer,Online,Starbucks,Movie night,Variable,Wednesday
194,2022-06-18,112.03,Bills,Credit Card,Mall,Walmart,Weekly groceries,Fixed,Saturday
195,2024-03-15,163.97,Healthcare,Debit Card,Online,Walmart,Weekly groceries,Fixed,Friday
196,2022-06-26,24.23,Healthcare,Credit Card,Pharmacy,Walmart,Movie night,Fixed,Sunday
197,2022-11-20,161.21,Transport,Cash,Supermarket,CVS,Doctor's visit,Variable,Sunday
198,2023-05-24,13.03,Healthcare,Debit Card,Mall,Shell,Gift shopping,Fixed,Wednesday
199,2024-03-14,164.2,Eating Out,Bank Transfer,Fuel Station,Walmart,Dinner with friends,Variable,Thursday
200,2022-05-27,162.47,Transport,Cash,Restaurant,Amazon,Gift shopping,Variable,Friday
201,2022-08-10,14.95,Entertainment,Cash,Supermarket,Netflix,Doctor's visit,Variable,Wednesday
202,2022-12-07,127.3,Entertainment,Cash,Supermarket,CVS,Dinner with friends,Variable,Wednesday
203,2023-05-25,102.98,Bills,Bank Transfer,Fuel Station,Shell,Weekly groceries,Fixed,Thursday
204,2023-05-30,38.11,Entertainment,Cash,Restaurant,Starbucks,Gas refill,Variable,Tuesday
205,2022-03-11,33.93,Bills,Cash,Fuel Station,Starbucks,Doctor's visit,Fixed,Friday
206,2024-06-27,155.79,Healthcare,Bank Transfer,Online,Amazon,Movie night,Fixed,Thursday
207,2023-07-11,115.7,Entertainment,Cash,Mall,Netflix,Weekly groceries,Variable,Tuesday
208,2024-06-04,196.68,Bills,Debit Card,Supermarket,CVS,Dinner with friends,Fixed,Tuesday
209,2024-02-05,196.54,Groceries,Debit Card,Fuel Station,Amazon,Doctor's visit,Variable,Monday
210,2022-04-02,198.57,Entertainment,Credit Card,Fuel Station,CVS,Doctor's visit,Variable,Saturday
211,2023-02-28,28.13,Healthcare,Debit Card,Online,Netflix,Doctor's visit,Fixed,Tuesday
212,2023-12-12,187.96,Transport,Cash,Restaurant,CVS,Bus fare,Variable,Tuesday
213,2024-08-25,52.69,Bills,Debit Card,Online,Starbucks,Gas refill,Fixed,Sunday
214,2022-10-02,94.35,Bills,Bank Transfer,Supermarket,Amazon,Dinner with friends,Fixed,Sunday
215,2024-05-10,152.69,Eating Out,Bank Transfer,Mall,Starbucks,Weekly groceries,Variable,Friday
216,2022-02-13,44.71,Groceries,Bank Transfer,Mall,Netflix,Weekly groceries,Variable,Sunday
217,2023-03-10,115.43,Groceries,Cash,Restaurant,Amazon,Doctor's visit,Variable,Friday
218,2024-03-20,41.23,Healthcare,Bank Transfer,Online,CVS,Monthly subscription,Fixed,Wednesday
219,2022-04-04,25.42,Healthcare,Cash,Pharmacy,Amazon,Monthly subscription,Fixed,Monday
220,2022-07-21,27.73,Transport,Debit Card,Mall,Shell,Bus fare,Variable,Thursday
221,2023-05-14,74.74,Bills,Bank Transfer,Pharmacy,Shell,Weekly groceries,Fixed,Sunday
222,2023-04-26,5.91,Groceries,Cash,Online,Netflix,Doctor's visit,Variable,Wednesday
223,2022-11-26,87.85,Groceries,Cash,Online,Netflix,Gift shopping,Variable,Saturday
224,2022-07-29,134.52,Eating Out,Cash,Pharmacy,Amazon,Bus fare,Variable,Friday
225,2023-09-10,83.33,Healthcare,Cash,Restaurant,CVS,Doctor's visit,Fixed,Sunday
226,2022-04-17,21.73,Transport,Bank Transfer,Pharmacy,Shell,Weekly groceries,Variable,Sunday
227,2022-06-14,17.22,Healthcare,Cash,Supermarket,Netflix,Monthly subscription,Fixed,Tuesday
228,2023-08-30,59.23,Transport,Debit Card,Pharmacy,Amazon,Gas refill,Variable,Wednesday
229,2023-09-21,38.02,Groceries,Cash,Pharmacy,CVS,Dinner with friends,Variable,Thursday
230,2022-05-17,193.19,Entertainment,Debit Card,Restaurant,Netflix,Dinner with friends,Variable,Tuesday
231,2024-08-10,34.49,Eating Out,Debit Card,Supermarket,Walmart,Gift shopping,Variable,Saturday
232,2024-05-09,162.07,Entertainment,Debit Card,Online,Shell,Doctor's visit,Variable,Thursday
233,2024-01-21,119.29,Eating Out,Bank Transfer,Supermarket,Netflix,Gift shopping,Variable,Sunday
234,2022-06-10,116.01,Entertainment,Debit Card,Pharmacy,CVS,Bus fare,Variable,Friday
235,2022-05-28,104.86,Transport,Debit Card,Fuel Station,CVS,Movie night,Variable,Saturday
236,2023-08-08,194.49,Healthcare,Cash,Online,Starbucks,Dinner with friends,Fixed,Tuesday
237,2023-04-01,75.95,Healthcare,Debit Card,Restaurant,Amazon,Bus fare,Fixed,Saturday
238,2024-08-09,158.64,Healthcare,Bank Transfer,Online,Amazon,Movie night,Fixed,Friday
239,2024-04-12,113.28,Bills,Bank Transfer,Restaurant,Shell,Weekly groceries,Fixed,Friday
240,2023-12-17,82.15,Transport,Bank Transfer,Pharmacy,Shell,Doctor's visit,Variable,Sunday
241,2024-01-03,191.32,Groceries,Debit Card,Supermarket,CVS,Gift shopping,Variable,Wednesday
242,2024-07-21,121.67,Entertainment,Credit Card,Supermarket,Amazon,Gas refill,Variable,Sunday
243,2022-10-09,28.19,Healthcare,Debit Card,Supermarket,CVS,Bus fare,Fixed,Sunday
244,2024-03-11,86.42,Groceries,Debit Card,Fuel Station,CVS,Doctor's visit,Variable,Monday
245,2023-04-16,157.41,Transport,Credit Card,Supermarket,Netflix,Dinner with friends,Variable,Sunday
246,2024-06-09,140.28,Healthcare,Debit Card,Supermarket,Shell,Monthly subscription,Fixed,Sunday
247,2023-08-19,183.69,Entertainment,Cash,Mall,Shell,Weekly groceries,Variable,Saturday
248,2023-10-10,55.58,Eating Out,Debit Card,Pharmacy,Amazon,Dinner with friends,Variable,Tuesday
249,2023-07-28,152.85,Bills,Credit Card,Supermarket,Amazon,Gas refill,Fixed,Friday
